"Language","original","german","english","czech","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"lb_place_failed","Failed to place a new","Neues Item konnte nicht platziert werden: ","Failed to place a new","Failed to place a new","Failed to place a new","Nie udało się umieścić nowego","Failed to place a new","Failed to place a new","Failed to place a new","Failed to place a new","Failed to place a new","Failed to place a new","Failed to place a new","Failed to place a new",
"lb_admin_currency_prefix","Currency Prefix: ","Währungs-Präfix: ","Currency Prefix: ","Currency Prefix: ","Currency Prefix: ","Prefiks Waluty: ","Currency Prefix: ","Currency Prefix: ","Currency Prefix: ","Currency Prefix: ","Currency Prefix: ","Currency Prefix: ","Currency Prefix: ","Currency Prefix: ",
"lb_admin_currency_suffix","Currency Suffix: ","Währungs-Suffix: ","Currency Suffix: ","Currency Suffix: ","Currency Suffix: ","Sufiks Waluty: ","Currency Suffix: ","Currency Suffix: ","Currency Suffix: ","Currency Suffix: ","Currency Suffix: ","Currency Suffix: ","Currency Suffix: ","Currency Suffix: ",
"lb_admin_currency_thousands","Thousand Separator: ","Tausender Separator: ","Thousand Separator: ","Thousand Separator: ","Thousand Separator: ","Separator Tysiąca: ","Thousand Separator: ","Thousand Separator: ","Thousand Separator: ","Thousand Separator: ","Thousand Separator: ","Thousand Separator: ","Thousand Separator: ","Thousand Separator: ",
"lb_admin_currency_color","Green = Currency configured properly, Red = Item not found","Grün = Währung korrekt eingestellt, Rot = Item nicht gefunden","Green = Currency configured properly, Red = Item not found","Green = Currency configured properly, Red = Item not found","Green = Currency configured properly, Red = Item not found","Zielony = Waluta skonfigurowana poprawnie, Czerwony = Element nie znaleziony","Green = Currency configured properly, Red = Item not found","Green = Currency configured properly, Red = Item not found","Green = Currency configured properly, Red = Item not found","Green = Currency configured properly, Red = Item not found","Green = Currency configured properly, Red = Item not found","Green = Currency configured properly, Red = Item not found","Green = Currency configured properly, Red = Item not found","Green = Currency configured properly, Red = Item not found",
"lb_admin_itemname","Itemname: ","Itemname: ","Itemname: ","Itemname: ","Itemname: ","Nazwa przedmiotu: ","Itemname: ","Itemname: ","Itemname: ","Itemname: ","Itemname: ","Itemname: ","Itemname: ","Itemname: ",
"lb_admin_value","Value: ","Wert: ","Value: ","Value: ","Value: ","Wartość: ","Value: ","Value: ","Value: ","Value: ","Value: ","Value: ","Value: ","Value: ",
"lb_admin_depositable_only","Depositable Only","Nur einzahlbar","Depositable Only","Depositable Only","Depositable Only","Tylko do wpłaty","Depositable Only","Depositable Only","Depositable Only","Depositable Only","Depositable Only","Depositable Only","Depositable Only","Depositable Only",
"lb_admin_add_currency","Add New Currency","Neue Währung","Add New Currency","Add New Currency","Add New Currency","Dodaj nową walutę","Add New Currency","Add New Currency","Add New Currency","Add New Currency","Add New Currency","Add New Currency","Add New Currency","Add New Currency",
"lb_admin_delete_currency","Delete Selected Currency","Währung löschen","Delete Selected Currency","Delete Selected Currency","Delete Selected Currency","Usuń wybraną walutę","Delete Selected Currency","Delete Selected Currency","Delete Selected Currency","Delete Selected Currency","Delete Selected Currency","Delete Selected Currency","Delete Selected Currency","Delete Selected Currency",
"lb_save","Save","Speichern","Save","Save","Save","Zapisz","Save","Save","Save","Save","Save","Save","Save","Save",
"lb_select","Select","Auswählen","Select","Select","Select","Wybierz","Select","Select","Select","Select","Select","Select","Select","Select",
"lb_admin_update_check","Mod Update Checker","Mod Update Überprüfung","Mod Update Checker","Mod Update Checker","Mod Update Checker","Sprawdzenie Aktualizacji Modów","Mod Update Checker","Mod Update Checker","Mod Update Checker","Mod Update Checker","Mod Update Checker","Mod Update Checker","Mod Update Checker","Mod Update Checker",
"lb_warning","Warning !","Warnung !","Warning !","Warning !","Warning !","Ostrzeżenie !","Warning !","Warning !","Warning !","Warning !","Warning !","Warning !","Warning !","Warning !",
"lb_co_select_an_item","Select an Item","Item auswählen","Select an Item","Select an Item","Select an Item","Wybierz element","Select an Item","Select an Item","Select an Item","Select an Item","Select an Item","Select an Item","Select an Item","Select an Item",
"lb_co_search","Search: ","Suche: ","Search: ","Search: ","Search: ","Szukaj: ","Search: ","Search: ","Search: ","Search: ","Search: ","Search: ","Search: ","Search: ",
"lb_co_category","Category: ","Kategorie: ","Category: ","Category: ","Category: ","Kategoria: ","Category: ","Category: ","Category: ","Category: ","Category: ","Category: ","Category: ","Category: ",
"lb_co_find_children","Find Children","Finde Kinder","Find Children","Find Children","Find Children","Znajdź dzieci","Find Children","Find Children","Find Children","Find Children","Find Children","Find Children","Find Children","Find Children",
"lb_co_spawnable_only","Spawnable only","Nur spawnbar","Spawnable only","Spawnable only","Spawnable only","Tylko do odrodzenia","Spawnable only","Spawnable only","Spawnable only","Spawnable only","Spawnable only","Spawnable only","Spawnable only","Spawnable only",
"lb_co_enable_preview","Enable Preview","Vorschau aktivieren","Enable Preview","Enable Preview","Enable Preview","Włącz Podgląd","Enable Preview","Enable Preview","Enable Preview","Enable Preview","Enable Preview","Enable Preview","Enable Preview","Enable Preview",
"lb_co_find_attachments","Find Attachments","Zubehör finden","Find Attachments","Find Attachments","Find Attachments","Znajdź Załączniki","Find Attachments","Find Attachments","Find Attachments","Find Attachments","Find Attachments","Find Attachments","Find Attachments","Find Attachments",
"lb_co_yes","Yes","Ja","Yes","Yes","Yes","Tak","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",
"lb_co_no","No","Nein","No","No","No","NIE","No","No","No","No","No","No","No","No",
"lb_co_choose_place","Choose Which %item% to place","Wähle eine(n) %item% zum Platzieren","Choose Which %item% to place","Choose Which %item% to place","Choose Which %item% to place","Wybierz Który %item% umieścić","Choose Which %item% to place","Choose Which %item% to place","Choose Which %item% to place","Choose Which %item% to place","Choose Which %item% to place","Choose Which %item% to place","Choose Which %item% to place","Choose Which %item% to place",
"lb_co_config_saved","Config Saved","Einstellungen gespeichert","Config Saved","Config Saved","Config Saved","Konfiguracja zapisana","Config Saved","Config Saved","Config Saved","Config Saved","Config Saved","Config Saved","Config Saved","Config Saved",
"lb_player_selector","Select a player","Wähle einen Spieler aus","Select a player","Select a player","Select a player","Wybierz gracza","Select a player","Select a player","Select a player","Select a player","Select a player","Select a player","Select a player","Select a player",
"lb_sp_admin_btn_loadout","Loadout","Ausrüstung","Loadout","Loadout","Loadout","Loadout","Loadout","Loadout","Loadout","Loadout","Loadout","Loadout","Loadout","Loadout",
"lb_sp_loadout_loadouteditor","Loadout Editor","Ausrüstungs-Editor","Loadout Editor","Loadout Editor","Loadout Editor","Loadout Editor","Loadout Editor","Loadout Editor","Loadout Editor","Loadout Editor","Loadout Editor","Loadout Editor","Loadout Editor","Loadout Editor",
"lb_reload_from_disk","Reload configs from Disk","Konfigurationen von der Festplatte neu laden","Reload configs from Disk","Reload configs from Disk","Reload configs from Disk","Przeładowanie Konfiguracji","Reload configs from Disk","Reload configs from Disk","Reload configs from Disk","Reload configs from Disk","Reload configs from Disk","Reload configs from Disk","Reload configs from Disk","Reload configs from Disk",
"lb_reload_selected_config","Reload selected config","Ausgewählte Konfiguration neu laden","Reload selected config","Reload selected config","Reload selected config","Przeładuj wybraną konfigurację","Reload selected config","Reload selected config","Reload selected config","Reload selected config","Reload selected config","Reload selected config","Reload selected config","Reload selected config",
"lb_reload_selected_mod","Reload all configs of %mod%","Alle Konfigurationen von %mod% neu laden","Reload all configs of %mod%","Reload all configs of %mod%","Reload all configs of %mod%","Załaduj ponownie wszystkie konfiguracje %mod%","Reload all configs of %mod%","Reload all configs of %mod%","Reload all configs of %mod%","Reload all configs of %mod%","Reload all configs of %mod%","Reload all configs of %mod%","Reload all configs of %mod%","Reload all configs of %mod%",
"lb_reload_all","Reload all Server configs","Alle Konfigurationen neu laden","Reload all Server configs","Reload all Server configs","Reload all Server configs","Przeładuj wszystkie konfiguracje serwera","Reload all Server configs","Reload all Server configs","Reload all Server configs","Reload all Server configs","Reload all Server configs","Reload all Server configs","Reload all Server configs","Reload all Server configs",
"lb_reload_success_all","Successfully reloaded all %count% configs from Disk!","Erfolgreich alle %count% Konfigurationen neu geladen","Successfully reloaded all %count% configs from Disk!","Successfully reloaded all %count% configs from Disk!","Successfully reloaded all %count% configs from Disk!","Pomyślnie przeładowano wszystkie %count% konfiguracje z dysku!","Successfully reloaded all %count% configs from Disk!","Successfully reloaded all %count% configs from Disk!","Successfully reloaded all %count% configs from Disk!","Successfully reloaded all %count% configs from Disk!","Successfully reloaded all %count% configs from Disk!","Successfully reloaded all %count% configs from Disk!","Successfully reloaded all %count% configs from Disk!","Successfully reloaded all %count% configs from Disk!",
"lb_reload_failed_some","Successfully reloaded %success% of %count% configs from Disk! Errors were printed in the LBmaster log!","Erfolgreich %success% von %count% Konfigurationen neu geladen! Fehler wurden im LBmaster log geschrieben!","Successfully reloaded %success% of %count% configs from Disk! Errors were printed in the LBmaster log!","Successfully reloaded %success% of %count% configs from Disk! Errors were printed in the LBmaster log!","Successfully reloaded %success% of %count% configs from Disk! Errors were printed in the LBmaster log!","Pomyślnie załadowano ponownie %success% z %count% konfiguracje z dysku! Błędy zostały wydrukowane w dzienniku LBmaster!","Successfully reloaded %success% of %count% configs from Disk! Errors were printed in the LBmaster log!","Successfully reloaded %success% of %count% configs from Disk! Errors were printed in the LBmaster log!","Successfully reloaded %success% of %count% configs from Disk! Errors were printed in the LBmaster log!","Successfully reloaded %success% of %count% configs from Disk! Errors were printed in the LBmaster log!","Successfully reloaded %success% of %count% configs from Disk! Errors were printed in the LBmaster log!","Successfully reloaded %success% of %count% configs from Disk! Errors were printed in the LBmaster log!","Successfully reloaded %success% of %count% configs from Disk! Errors were printed in the LBmaster log!","Successfully reloaded %success% of %count% configs from Disk! Errors were printed in the LBmaster log!",
"lb_admin_reload","Reload configs","Konfigurationen neu laden","Reload configs","Reload configs","Reload configs","Przeładuj konfiguracje","Reload configs","Reload configs","Reload configs","Reload configs","Reload configs","Reload configs","Reload configs","Reload configs",
"lb_reload","Reload","Neu laden","Reload","Reload","Reload","Przeładować","Reload","Reload","Reload","Reload","Reload","Reload","Reload","Reload",
"lb_co_reload_all_confirm","Are you sure you want to reload all configs of all mods?","Bist du sicher, dass du alle Konfigurationen aller Mods neu laden willst?","Are you sure you want to reload all configs of all mods?","Are you sure you want to reload all configs of all mods?","Are you sure you want to reload all configs of all mods?","Czy na pewno chcesz ponownie załadować wszystkie konfiguracje wszystkich modów??","Are you sure you want to reload all configs of all mods?","Are you sure you want to reload all configs of all mods?","Are you sure you want to reload all configs of all mods?","Are you sure you want to reload all configs of all mods?","Are you sure you want to reload all configs of all mods?","Are you sure you want to reload all configs of all mods?","Are you sure you want to reload all configs of all mods?","Are you sure you want to reload all configs of all mods?",
"lb_co_reload_mod_confirm","Are you sure you want to reload all configs of %currentMod%?","Bist du sicher, dass du alle Konfiguration von %currentMod% neu laden willst?","Are you sure you want to reload all configs of %currentMod%?","Are you sure you want to reload all configs of %currentMod%?","Are you sure you want to reload all configs of %currentMod%?","Czy na pewno chcesz ponownie załadować wszystkie konfiguracje? %currentMod%?","Are you sure you want to reload all configs of %currentMod%?","Are you sure you want to reload all configs of %currentMod%?","Are you sure you want to reload all configs of %currentMod%?","Are you sure you want to reload all configs of %currentMod%?","Are you sure you want to reload all configs of %currentMod%?","Are you sure you want to reload all configs of %currentMod%?","Are you sure you want to reload all configs of %currentMod%?","Are you sure you want to reload all configs of %currentMod%?",
"lb_co_reload_config_confirm","Are you sure you want to reload %path%?","Bist du sicher, dass du %path% neu laden willst?","Are you sure you want to reload %path%?","Are you sure you want to reload %path%?","Are you sure you want to reload %path%?","Czy na pewno chcesz przeładować? %path%?","Are you sure you want to reload %path%?","Are you sure you want to reload %path%?","Are you sure you want to reload %path%?","Are you sure you want to reload %path%?","Are you sure you want to reload %path%?","Are you sure you want to reload %path%?","Are you sure you want to reload %path%?","Are you sure you want to reload %path%?",
"lb_browse","Browse...","Öffnen...","Browse...","Browse...","Browse...","Browse...","Browse...","Browse...","Browse...","Browse...","Browse...","Browse...","Browse...","Browse...",
"lb_delete","Delete","Löschen","Delete","Delete","Delete","Delete","Delete","Delete","Delete","Delete","Delete","Delete","Delete","Delete",
"lb_copy","Copy","Kopieren","Copy","Copy","Copy","Copy","Copy","Copy","Copy","Copy","Copy","Copy","Copy","Copy",
"lb_edit","Edit","Bearbeiten","Edit","Edit","Edit","Edit","Edit","Edit","Edit","Edit","Edit","Edit","Edit","Edit",
"lb_new","NEW","NEU","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW",
"lb_add","Add","Hinzufügen","Add","Add","Add","Add","Add","Add","Add","Add","Add","Add","Add","Add",
"lb_remove","Remove","entfernen","Remove","Remove","Remove","Remove","Remove","Remove","Remove","Remove","Remove","Remove","Remove","Remove",
"lb_add_dot","Add ...","Hinzufügen ...","Add ...","Add ...","Add ...","Add ...","Add ...","Add ...","Add ...","Add ...","Add ...","Add ...","Add ...","Add ...",
"lb_add_new","Add New","Neu hinzufügen","Add New","Add New","Add New","Add New","Add New","Add New","Add New","Add New","Add New","Add New","Add New","Add New",
"lb_title_list_selector","Select an entry from the list","Wähle einen Entrag aus der Liste","Select an entry from the list","Select an entry from the list","Select an entry from the list","Select an entry from the list","Select an entry from the list","Select an entry from the list","Select an entry from the list","Select an entry from the list","Select an entry from the list","Select an entry from the list","Select an entry from the list","Select an entry from the list",
"lb_cr_admins","Admins","Admins","Admins","Admins","Admins","Admins","Admins","Admins","Admins","Admins","Admins","Admins","Admins","Admins",
"lb_cr_required_ingame_name","Required Ingame Name: ","Erforderlicher Name: ","Required Ingame Name: ","Required Ingame Name: ","Required Ingame Name: ","Required Ingame Name: ","Required Ingame Name: ","Required Ingame Name: ","Required Ingame Name: ","Required Ingame Name: ","Required Ingame Name: ","Required Ingame Name: ","Required Ingame Name: ","Required Ingame Name: ",
"lb_cr_comment","Comment: ","Kommentar: ","Comment: ","Comment: ","Comment: ","Comment: ","Comment: ","Comment: ","Comment: ","Comment: ","Comment: ","Comment: ","Comment: ","Comment: ",
"lb_cr_grant_all_permissions","Grant all permissions","Alle Berechtigungen erteilen","Grant all permissions","Grant all permissions","Grant all permissions","Grant all permissions","Grant all permissions","Grant all permissions","Grant all permissions","Grant all permissions","Grant all permissions","Grant all permissions","Grant all permissions","Grant all permissions",
"lb_cr_added_permission_groups","Added Permission Groups","Berechtigungs-Gruppen","Added Permission Groups","Added Permission Groups","Added Permission Groups","Added Permission Groups","Added Permission Groups","Added Permission Groups","Added Permission Groups","Added Permission Groups","Added Permission Groups","Added Permission Groups","Added Permission Groups","Added Permission Groups",
"lb_cr_add_selected","Add Selected","Ausgewählte hinzufügen","Add Selected","Add Selected","Add Selected","Add Selected","Add Selected","Add Selected","Add Selected","Add Selected","Add Selected","Add Selected","Add Selected","Add Selected",
"lb_cr_all_permission_groups","All Permission Groups","Alle Berechtigungs-Gruppen","All Permission Groups","All Permission Groups","All Permission Groups","All Permission Groups","All Permission Groups","All Permission Groups","All Permission Groups","All Permission Groups","All Permission Groups","All Permission Groups","All Permission Groups","All Permission Groups",
"lb_cr_granted_permissions","Granted Permissions","Erteilte Berechtigungen","Granted Permissions","Granted Permissions","Granted Permissions","Granted Permissions","Granted Permissions","Granted Permissions","Granted Permissions","Granted Permissions","Granted Permissions","Granted Permissions","Granted Permissions","Granted Permissions",
"lb_cr_name","Name: ","Name: ","Name: ","Name: ","Name: ","Name: ","Name: ","Name: ","Name: ","Name: ","Name: ","Name: ","Name: ","Name: ",
"lb_cr_steamid","Steamid: ","Steamid: ","Steamid: ","Steamid: ","Steamid: ","Steamid: ","Steamid: ","Steamid: ","Steamid: ","Steamid: ","Steamid: ","Steamid: ","Steamid: ","Steamid: ",
"lb_cr_add_new","Add NEW","Neu hinzufügen","Add NEW","Add NEW","Add NEW","Add NEW","Add NEW","Add NEW","Add NEW","Add NEW","Add NEW","Add NEW","Add NEW","Add NEW",
"lb_type","Type: ","Typ: ","Type: ","Type: ","Type: ","Type: ","Type: ","Type: ","Type: ","Type: ","Type: ","Type: ","Type: ","Type: ",
"lb_position","Position: ","Position: ","Position: ","Position: ","Position: ","Position: ","Position: ","Position: ","Position: ","Position: ","Position: ","Position: ","Position: ","Position: ",
"lb_tp_to","TP To...","TP zu...","TP To...","TP To...","TP To...","TP To...","TP To...","TP To...","TP To...","TP To...","TP To...","TP To...","TP To...","TP To...",
"lb_online_only","Online only","Nur Online","Online only","Online only","Online only","Online only","Online only","Online only","Online only","Online only","Online only","Online only","Online only","Online only",
"lb_playername","Playername","Spielername","Playername","Playername","Playername","Playername","Playername","Playername","Playername","Playername","Playername","Playername","Playername","Playername",
